Time(s),Energy(J),ALLPD_Frames/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FRAMES-1/
0,0,
0.00500028,10.0106,
0.0100004,351.273,
0.0150003,1048.58,
0.0200009,1991.25,
0.0250008,3288.33,
0.0300009,4294.97,
0.0350001,5112.86,
0.0400002,5972.69,
0.0450002,6715.08,
0.0500001,8095.01,
0.0550007,10787.8,
0.0600003,12297.7,
0.0650009,13832.8,
0.0700008,14923.3,
0.0750009,15846.1,
0.0800007,16575.9,
0.0850003,17968.4,
0.0900003,18505.3,
0.0950007,18723.4,
0.1,18907.9,
0.105,18991.8,
0.110001,19008.6,
0.115,19025.4,
0.120001,19025.4,
0.125,19025.4,
0.130001,19025.4,
0.135001,19025.4,
0.140001,19025.4,
0.145001,19025.4,
0.150001,19042.1,
0.155001,19042.1,
0.160001,19092.5,
0.165001,19109.2,
0.170001,19109.2,
0.175001,19109.2,
0.180001,19109.2,
0.185,19109.2,
0.19,19109.2,
0.195001,19109.2,
0.200001,19109.2,
0.205001,19126,
0.210001,19126,
0.215001,19126,
0.220001,19126,
0.225001,19142.8,
0.230001,19142.8,
0.235001,19142.8,
0.240001,19142.8,
0.245001,19142.8,
0.250001,19142.8,
0.255,19142.8,
0.260001,19142.8,
0.265,19142.8,
0.270001,19142.8,
0.275,19142.8,
0.280001,19142.8,
0.285,19142.8,
0.290001,19142.8,
0.295,19142.8,
0.3,19142.8,
