Time(s),Energy(J),ALLPD_Floor_struts/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_STRUTS-1/
0,0,
0.00500028,0,
0.0100004,0,
0.0150003,0.129792,
0.0200009,1.05882,
0.0250008,2.58458,
0.0300009,3.12934,
0.0350001,3.86048,
0.0400002,4.25165,
0.0450002,4.96845,
0.0500001,5.44358,
0.0550007,125.37,
0.0600003,3017.8,
0.0650009,4441.77,
0.0700008,5398.07,
0.0750009,6153.04,
0.0800007,6396.31,
0.0850003,6442.45,
0.0900003,6459.23,
0.0950007,6488.59,
0.1,6492.78,
0.105,6509.56,
0.110001,6509.56,
0.115,6509.56,
0.120001,6509.56,
0.125,6513.75,
0.130001,6513.75,
0.135001,6513.75,
0.140001,6513.75,
0.145001,6517.95,
0.150001,6517.95,
0.155001,6530.53,
0.160001,6534.73,
0.165001,6534.73,
0.170001,6538.92,
0.175001,6538.92,
0.180001,6538.92,
0.185,6538.92,
0.19,6538.92,
0.195001,6538.92,
0.200001,6538.92,
0.205001,6538.92,
0.210001,6538.92,
0.215001,6538.92,
0.220001,6538.92,
0.225001,6538.92,
0.230001,6547.31,
0.235001,6547.31,
0.240001,6555.7,
0.245001,6559.89,
0.250001,6559.89,
0.255,6559.89,
0.260001,6559.89,
0.265,6559.89,
0.270001,6559.89,
0.275,6559.89,
0.280001,6559.89,
0.285,6559.89,
0.290001,6559.89,
0.295,6559.89,
0.3,6559.89,
