Time(s),Energy(J),ALLPD_Floor_long_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_LONG_BEAMS-1/
0,0,
0.00500028,0,
0.0100004,0,
0.0150003,0.472832,
0.0200009,14.0165,
0.0250008,14.5981,
0.0300009,14.7292,
0.0350001,15.8024,
0.0400002,36.4052,
0.0450002,80.1505,
0.0500001,102.826,
0.0550007,108.134,
0.0600003,108.265,
0.0650009,783.811,
0.0700008,930.087,
0.0750009,991.429,
0.0800007,1175.45,
0.0850003,1358.95,
0.0900003,1399.85,
0.0950007,1412.43,
0.1,1466.96,
0.105,1701.84,
0.110001,2020.61,
0.115,2271.22,
0.120001,2371.88,
0.125,2394.95,
0.130001,2397.04,
0.135001,2428.5,
0.140001,2516.58,
0.145001,2619.34,
0.150001,2682.26,
0.155001,2709.52,
0.160001,2722.1,
0.165001,2732.59,
0.170001,2732.59,
0.175001,2732.59,
0.180001,2734.69,
0.185,2738.88,
0.19,2743.07,
0.195001,2743.07,
0.200001,2743.07,
0.205001,2743.07,
0.210001,2745.17,
0.215001,2747.27,
0.220001,2759.85,
0.225001,2780.82,
0.230001,2803.89,
0.235001,2810.18,
0.240001,2810.18,
0.245001,2810.18,
0.250001,2820.67,
0.255,2850.03,
0.260001,2881.49,
0.265,2902.46,
0.270001,2904.56,
0.275,2904.56,
0.280001,2908.75,
0.285,2915.04,
0.290001,2917.14,
0.295,2919.24,
0.3,2919.24,
