Time(s),Energy(J),ALLPD_Skin/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SKIN-1/
0,0,
0.00500028,0,
0.0100004,1.71725,
0.0150003,86.9007,
0.0200009,177.603,
0.0250008,246.546,
0.0300009,386.925,
0.0350001,537.395,
0.0400002,634.913,
0.0450002,748.683,
0.0500001,838.336,
0.0550007,902.3,
0.0600003,1076.89,
0.0650009,1210.06,
0.0700008,1249.9,
0.0750009,1291.85,
0.0800007,1305.48,
0.0850003,1311.77,
0.0900003,1352.66,
0.0950007,1374.68,
0.1,1394.61,
0.105,1404.04,
0.110001,1407.19,
0.115,1408.24,
0.120001,1409.29,
0.125,1409.29,
0.130001,1409.29,
0.135001,1409.29,
0.140001,1409.29,
0.145001,1409.29,
0.150001,1409.29,
0.155001,1409.29,
0.160001,1409.29,
0.165001,1409.29,
0.170001,1409.29,
0.175001,1409.29,
0.180001,1410.33,
0.185,1410.33,
0.19,1409.29,
0.195001,1409.29,
0.200001,1409.29,
0.205001,1409.29,
0.210001,1410.33,
0.215001,1410.33,
0.220001,1410.33,
0.225001,1410.33,
0.230001,1410.33,
0.235001,1410.33,
0.240001,1410.33,
0.245001,1410.33,
0.250001,1410.33,
0.255,1410.33,
0.260001,1410.33,
0.265,1410.33,
0.270001,1410.33,
0.275,1410.33,
0.280001,1410.33,
0.285,1410.33,
0.290001,1410.33,
0.295,1410.33,
0.3,1410.33,
