Time(s),Acceleration(m_s2),1_AT3_Floor/A/C3/MeshedPart-PART-1-1 at Node 118183
0.293001,-256.838,
0.294,-216.664,
0.295,-117.581,
0.296001,225.818,
0.297001,-18.3831,
0.298,162.19,
0.299001,28.638,
0.3,408.677,
Time(s),Acceleration(m_s2),2_AT3_Floor/A/C3/MeshedPart-PART-1-1 at Node 118114
0,-9.18376,
0.00100005,-9.8651,
0.00200025,-9.86343,
0.00300078,-9.86358,
0.00400105,-10.0986,
0.00500028,6.13386,
0.00600095,-14.0203,
0.0070008,180.51,
0.00800043,-83.2449,
0.0090004,196.284,
0.0100004,409.214,
0.0110003,274.272,
0.0120011,421.048,
0.0130005,405.711,
0.0140007,-223.887,
0.0150003,144.147,
0.0160008,-9.63896,
0.0170005,-312.855,
0.0180004,-292.113,
0.0190001,-550.196,
0.0200009,-224.19,
0.0210007,-465.807,
0.0220006,-58.7924,
0.0230003,-112.162,
0.0240005,453.031,
0.0250008,58.7103,
0.026001,431.126,
0.0270002,456.538,
0.0280004,240.099,
0.0290007,266.825,
0.0300009,414.042,
0.031,-253.682,
0.0320003,-129.251,
0.0330005,-309.324,
0.034001,-229.147,
0.0350001,-262.008,
0.0360003,-172.628,
0.0370006,-453.035,
0.0380008,199.791,
0.0390011,-141.079,
0.0400002,397.828,
0.0410005,-212.936,
0.0420007,298.812,
0.0430009,0,
0.0440011,240.978,
0.0450002,45.5668,
0.0460005,55.6438,
0.0470007,-28.9173,
0.048001,77.5521,
0.049001,61.9887,
0.0500001,-16.071,
0.0510002,317.301,
0.0520003,-53.2685,
0.0530004,701.073,
0.0540006,181.474,
0.0550007,276.587,
0.0560008,-108.897,
0.057001,260.524,
0.058,294.527,
0.0590002,159.441,
0.0600003,59.7322,
0.0610004,27.1162,
0.0620005,365.416,
0.0630005,-745.449,
0.0640005,692.553,
0.0650009,200.028,
0.0660003,-615.174,
0.0670007,71.9152,
0.068001,18.4938,
0.0690004,774.568,
0.0700008,-146.1,
