Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157686
0.294,-35.2122,
0.295001,173.892,
0.296,195.35,
0.297001,-46.0306,
0.298,130.235,
0.299001,-116.455,
0.3,-365.045,
Time(s),Acceleration(m_s2),2_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157617
0,-8.80593,
0.00100075,-9.9067,
0.00200062,-9.90669,
0.00300037,-9.90668,
0.00400011,-9.90665,
0.00500074,-22.0162,
0.00600049,195.954,
0.00700023,-138.721,
0.00800076,255.445,
0.00900087,469.066,
0.0100001,260.954,
0.0110002,542.302,
0.0120003,336.936,
0.0130005,213.56,
0.0140008,218.507,
0.0150001,-257.023,
0.016,-445.749,
0.0170001,-469.297,
0.0180002,-632.824,
0.0190003,-325.801,
0.0200005,-291.656,
0.0210006,-100.167,
0.0220007,369.889,
0.0230008,-23.119,
0.0240009,62.7575,
0.0250001,317.106,
0.0260002,201.507,
0.0270003,146.443,
0.0280004,-81.4872,
0.0290005,159.668,
0.0300006,-101.845,
0.0310007,96.3482,
0.0320008,466.863,
0.0330001,251.014,
0.0340002,-128.807,
0.0350003,251.001,
0.0360004,-151.363,
0.0370005,40.723,
0.0380006,-503.012,
0.0390007,-33.0207,
0.0400008,-305.421,
0.041,-26.4129,
0.0420001,154.086,
0.0430002,2.20136,
0.0440003,-90.8103,
0.0450004,143.085,
0.0460006,-88.063,
0.0470007,238.299,
0.0480008,3.30255,
0.0490009,-173.915,
0.0500001,-40.7256,
0.0510002,246.555,
0.0520003,-209.097,
0.0530004,-169.507,
0.0540005,7.7047,
0.0550006,346.734,
0.0560007,-77.6023,
0.0570008,462.892,
0.0580001,80.9221,
0.0590002,565.419,
0.0600003,98.5394,
0.0610004,578.67,
0.0620005,-287.388,
0.0630006,-31.3855,
0.0640007,187.255,
0.0650008,-476.458,
0.066,-292.398,
0.0670001,792.557,
0.0680002,-83.7423,
0.0690003,65.5828,
0.0700004,893.958,
0.0710006,610.499,
0.0720007,846.137,
0.0730008,407.375,
0.0740009,597.038,
0.0750001,-336.207,
0.0760002,503.321,
0.0770003,426.599,
0.0780004,89.7486,
0.0790005,-332.749,
0.0800006,151.895,
0.0810007,472.582,
0.0820008,-367.297,
0.0830001,317.347,
0.0840002,-155.733,
0.0850003,534.846,
0.0860004,152.006,
0.0870005,550.112,
0.0880006,-279.049,
0.0890007,156.516,
0.0900008,-140.05,
0.091,821.347,
0.0920001,-602.992,
0.0930002,455.414,
0.0940003,-212.25,
0.0950004,156.145,
0.0960006,541.718,
0.0970007,129.106,
0.0980008,-133.57,
0.0990009,81.2605,
0.1,-290.225,
0.101,593.858,
0.102,-400.598,
0.103,560.463,
0.104001,14.4719,
0.105001,-51.826,
0.106001,-47.5541,
0.107001,568.54,
0.108,-412.837,
0.109,195.861,
0.11,235.986,
0.111,-155.192,
0.112,159.05,
0.113001,89.8613,
0.114001,383.955,
0.115001,226.575,
0.116,-100.593,
0.117,92.8687,
0.118,171.41,
0.119,-138.613,
0.12,-479.452,
0.121001,34.17,
0.122001,179.382,
0.123001,-84.5864,
0.124001,-406.431,
0.125,-481.865,
0.126001,476.132,
0.127,218.796,
0.128001,-12.1245,
0.129,-98.7974,
0.130001,-17.7731,
0.131,-544.605,
0.132,97.2658,
0.133001,-174.011,
0.134,-156.381,
0.135001,15.0164,
0.136,252.406,
0.137001,5.64795,
0.138,346.638,
0.139001,-635.582,
0.14,616.635,
0.141,-696.836,
0.142001,409.552,
0.143,-445.354,
0.144001,798.859,
0.145,-375.346,
0.146001,191.681,
0.147,-108.989,
0.148,-173.621,
0.149001,299.97,
0.15,108.989,
0.151001,36.9264,
0.152,279.043,
0.153001,-216.321,
0.154,165.205,
0.155001,-218.355,
0.156,-386.886,
0.157,122.068,
0.158001,-143.16,
0.159,50.295,
0.160001,144.487,
0.161,-109.755,
0.162001,505.543,
0.163,-124.148,
0.164,-10.1963,
0.165,-292.383,
0.166,-265.521,
0.167001,331.895,
0.168,-357.415,
0.169001,285.69,
0.17,-28.6598,
0.171001,169.629,
0.172,46.8543,
0.173,73.4481,
0.174001,-61.874,
0.175,-134.218,
0.176001,175.831,
0.177,202.161,
0.178001,258.656,
0.179,-360.493,
0.180001,41.342,
0.181,-113.133,
0.182,270.244,
0.183001,-105.828,
0.184,-146.886,
0.185001,-203.401,
0.186,312.368,
0.187001,76.8873,
0.188,-319.405,
0.189,-77.576,
0.190001,-232.892,
0.191,-45.7524,
0.192001,125.263,
0.193,-307.148,
0.194001,179.558,
0.195,142.21,
0.196001,48.9221,
0.197,-29.764,
0.198,21.3598,
0.199001,158.751,
0.2,-116.993,
0.201001,-14.3297,
0.202,89.4262,
0.203001,6.4759,
0.204,-91.3592,
0.205,626.542,
0.206001,-563.002,
0.207,187.664,
0.208001,-336.738,
0.209,277.353,
0.210001,-150.056,
0.211,256.279,
0.212001,0.137784,
0.213,356.427,
0.214,5.64858,
0.215001,-52.213,
0.216,-12.6758,
0.217001,-89.0021,
0.218,-163.535,
0.219001,-181.181,
0.22,-61.6525,
0.221,-318.265,
0.222001,143.842,
0.223,25.2823,
0.224001,-306.774,
0.225,13.0889,
0.226001,-94.7022,
0.227,367.427,
0.228001,-355.964,
0.229,165.064,
0.23,-231.754,
0.231001,299.748,
0.232,-75.5016,
0.233001,-47.327,
0.234,182.412,
0.235001,96.3695,
0.236,-23.6308,
0.237001,174.286,
0.238,-60.9722,
0.239,124.838,
0.240001,157.848,
0.241,-152.533,
0.242001,-22.5293,
0.243,-155.689,
0.244001,62.6945,
0.245,169.665,
0.246,-219.22,
0.247001,237.235,
0.248,33.4113,
0.249001,-372.828,
0.25,-35.5808,
0.251001,-7.95659,
0.252,9.02477,
0.253001,-40.3001,
0.254,-240.726,
0.255001,-43.1622,
0.256,94.8363,
0.257001,52.5138,
0.258,104.484,
0.259001,-112.794,
0.26,277.684,
0.261,-149.758,
