Nodal History,Z-acceleration
Time,
    0.0000000000e+00,    1.5074536204e-01,
    9.9969643634e-04,   -2.0589357615e-01,
    1.9993928727e-03,   -5.1569932699e-01,
    2.9998174869e-03,   -6.3689380884e-01,
    3.9995140396e-03,   -3.5443800688e-01,
    4.9999384210e-03,    6.2067377567e-01,
    5.9996345080e-03,    2.6294066906e+00,
    6.9993310608e-03,    6.0056405067e+00,
    7.9998597503e-03,    1.1072965622e+01,
    8.9999055490e-03,    1.8265626907e+01,
    9.9998265505e-03,    2.7628265381e+01,
    1.0999789461e-02,    3.7760723114e+01,
    1.1999701150e-02,    4.6404869080e+01,
    1.2999922968e-02,    5.2057617188e+01,
    1.3999350369e-02,    5.3955936432e+01,
    1.4999621548e-02,    5.1736351013e+01,
    1.5999780968e-02,    4.5964538574e+01,
    1.6999779269e-02,    3.8331516266e+01,
    1.7999954522e-02,    3.1282526016e+01,
    1.8999360502e-02,    2.6924175262e+01,
    1.9999749959e-02,    2.5793134689e+01,
    2.0999921486e-02,    2.6867723465e+01,
    2.1999437362e-02,    2.8405408859e+01,
    2.2999905050e-02,    2.8811193466e+01,
    2.3999851197e-02,    2.7553934097e+01,
    2.4999385700e-02,    2.5401792526e+01,
    2.5999417529e-02,    2.3443155289e+01,
    2.6999432594e-02,    2.2160655975e+01,
    2.7999483049e-02,    2.1577499390e+01,
    2.8999343514e-02,    2.1629941940e+01,
    2.9999900609e-02,    2.2005447388e+01,
    3.0999466777e-02,    2.1828327179e+01,
    3.1999871135e-02,    1.9841596603e+01,
    3.2999902964e-02,    1.5376368523e+01,
    3.3999942243e-02,    9.2189359665e+00,
    3.4999538213e-02,    3.1486155987e+00,
    3.5999972373e-02,   -1.2841230631e+00,
    3.6999434233e-02,   -3.3791415691e+00,
    3.7999570370e-02,   -3.1244704723e+00,
    3.8999684155e-02,   -8.1637328863e-01,
    3.9999481291e-02,    3.1003320217e+00,
    4.0999710560e-02,    7.9917593002e+00,
    4.1999764740e-02,    1.3058421135e+01,
    4.2999900877e-02,    1.7528318405e+01,
    4.3999601156e-02,    2.0926017761e+01,
    4.4999707490e-02,    2.3043159485e+01,
    4.5999389142e-02,    2.3637716293e+01,
    4.6999353915e-02,    2.2570213318e+01,
    4.7999467701e-02,    2.0249458313e+01,
    4.8999659717e-02,    1.7488611221e+01,
    4.9999624491e-02,    1.4839798927e+01,
    5.0999548286e-02,    1.2203975677e+01,
    5.1999919116e-02,    9.1088171005e+00,
    5.2999507636e-02,    5.4828424454e+00,
    5.3999748081e-02,    2.1477982998e+00,
    5.4999336600e-02,    3.0005577207e-01,
    5.5999610573e-02,    5.7996100187e-01,
    5.6999869645e-02,    2.8811249733e+00,
    5.7999480516e-02,    6.7952203751e+00,
    5.8999728411e-02,    1.1844078064e+01,
    5.9999331832e-02,    1.7333871841e+01,
    6.0999553651e-02,    2.2366809845e+01,
    6.1999779195e-02,    2.6222066879e+01,
    6.2999367714e-02,    2.8558216095e+01,
    6.3999600708e-02,    2.9216747284e+01,
    6.4999818802e-02,    2.8117254257e+01,
    6.5999396145e-02,    2.5404283524e+01,
    6.6999636590e-02,    2.1590211868e+01,
    6.7999862134e-02,    1.7524293900e+01,
    6.8999454379e-02,    1.4056902885e+01,
    6.9999702275e-02,    1.1616634369e+01,
    7.0999927819e-02,    1.0167040825e+01,
    7.1999497712e-02,    9.4960231781e+00,
    7.2999678552e-02,    9.4657983780e+00,
    7.3999814689e-02,    1.0107528687e+01,
    7.4999950826e-02,    1.1541231155e+01,
    7.5999461114e-02,    1.3705947876e+01,
    7.6999604702e-02,    1.6179414749e+01,
    7.7999748290e-02,    1.8368854523e+01,
    7.8999921679e-02,    1.9866022110e+01,
    7.9999431968e-02,    2.0494260788e+01,
    8.0999583006e-02,    2.0100236893e+01,
    8.1999756396e-02,    1.8621631622e+01,
    8.2999967039e-02,    1.6313442230e+01,
    8.3999529481e-02,    1.3644693375e+01,
    8.4999732673e-02,    1.1025211334e+01,
    8.5999950767e-02,    8.6565246582e+00,
    8.6999543011e-02,    6.4831666946e+00,
    8.7999761105e-02,    4.3514542580e+00,
    8.8999368250e-02,    2.3642506599e+00,
    8.9999645948e-02,    9.2426478863e-01,
    9.0999908745e-02,    4.0580901504e-01,
    9.1999508440e-02,    9.7498470545e-01,
    9.2999748886e-02,    2.5198373795e+00,
    9.3999996781e-02,    4.5388159752e+00,
    9.4999603927e-02,    6.3069119453e+00,
    9.5999896526e-02,    7.2623105049e+00,
    9.6999749541e-02,    7.1339988708e+00,
    9.8000019789e-02,    5.8420014381e+00,
    9.8999530077e-02,    3.5992214680e+00,
    9.9999949336e-02,    1.0015672445e+00,
    1.0099968314e-01,   -1.3103379011e+00,
    1.0199946165e-01,   -2.9742159843e+00,
    1.0299962014e-01,   -3.8338236809e+00,
    1.0399977863e-01,   -3.8378679752e+00,
    1.0499995947e-01,   -3.0436089039e+00,
    1.0599950701e-01,   -1.5141184330e+00,
    1.0699969530e-01,    7.1983247995e-01,
    1.0799989104e-01,    3.4225232601e+00,
    1.0899946094e-01,    6.0634264946e+00,
    1.0999967158e-01,    8.1408681870e+00,
    1.1099988222e-01,    9.4123277664e+00,
    1.1199945211e-01,    9.8061561584e+00,
    1.1299965531e-01,    9.3452997208e+00,
    1.1399987340e-01,    8.1683101654e+00,
    1.1499945074e-01,    6.4745869637e+00,
    1.1599966884e-01,    4.4087204933e+00,
    1.1699988693e-01,    2.0854189396e+00,
    1.1799944937e-01,   -2.8385901451e-01,
    1.1899977922e-01,   -2.3510348797e+00,
    1.1999985576e-01,   -3.7027044296e+00,
    1.2099964917e-01,   -4.0645742416e+00,
    1.2199996412e-01,   -3.4798369408e+00,
    1.2299951911e-01,   -2.1964788437e+00,
    1.2399969250e-01,   -5.0046229362e-01,
    1.2499988079e-01,    1.1906279325e+00,
    1.2599945068e-01,    2.3287224770e+00,
    1.2699964643e-01,    2.6026828289e+00,
    1.2799985707e-01,    2.1148345470e+00,
    1.2900005281e-01,    1.0817257166e+00,
    1.2999963760e-01,   -3.9838397503e-01,
    1.3099986315e-01,   -2.2486515045e+00,
    1.3200005889e-01,   -4.2259206772e+00,
    1.3299962878e-01,   -5.8528103828e+00,
    1.3399982452e-01,   -6.5865964890e+00,
    1.3500002027e-01,   -6.1365480423e+00,
    1.3599957526e-01,   -4.6423668861e+00,
    1.3699975610e-01,   -2.5568149090e+00,
    1.3799993694e-01,   -3.8242003322e-01,
    1.3899947703e-01,    1.5427672863e+00,
    1.3999965787e-01,    3.1320524216e+00,
    1.4100009203e-01,    4.4364209175e+00,
    1.4199958742e-01,    5.4034547806e+00,
    1.4299976826e-01,    5.7860302925e+00,
    1.4400008321e-01,    5.3523902893e+00,
    1.4499996603e-01,    4.1402344704e+00,
    1.4599955082e-01,    2.4408190250e+00,
    1.4699976146e-01,    6.5931665897e-01,
    1.4799997211e-01,   -8.0463939905e-01,
    1.4899954200e-01,   -1.7789880037e+00,
    1.4999973774e-01,   -2.4712214470e+00,
    1.5000037849e-01,   -3.3386547565e+00,
