Nodal History,Z-acceleration
Time,
    1.3599957526e-01,    7.2499507812e+04,
    1.3699975610e-01,    6.5074496094e+04,
    1.3799993694e-01,    4.9651191406e+04,
    1.3899947703e-01,    2.7602058594e+04,
    1.3999965787e-01,    2.8295024414e+03,
    1.4100009203e-01,   -1.8719048828e+04,
    1.4199958742e-01,   -3.1446138672e+04,
    1.4299976826e-01,   -3.3016574219e+04,
    1.4400008321e-01,   -2.5201375000e+04,
    1.4499996603e-01,   -1.1756666992e+04,
    1.4599955082e-01,    4.2040581055e+03,
    1.4699976146e-01,    2.0660951172e+04,
    1.4799997211e-01,    3.6025460938e+04,
    1.4899954200e-01,    4.9157156250e+04,
    1.4999973774e-01,    5.9465238281e+04,
    1.5000037849e-01,    6.7724937500e+04,
