Nodal History,Z-acceleration
Time,A119507,B121301,C121285,D8907,E121770,F121637,G121722,H121457,I121627,J122023,K122002,L120985,M120534,
    1.7999880016e-02,    3.2404684375e+05,   -1.0742357500e+06,   -7.7233562500e+05,    3.1434956250e+05,    9.0683968750e+05,   -1.0276101875e+06,   -3.1112878125e+05,   -1.3360992432e+03,   -1.1664091250e+06,   -8.0202881250e+05,    8.0832171875e+04,   -1.2721359375e+05,    7.0330350000e+05,
    1.8999924883e-02,   -2.2187276562e+05,   -5.0310306250e+05,   -1.8027853125e+05,    4.4202131250e+05,    4.2919421875e+05,   -8.9539981250e+05,    9.4883556250e+05,   -5.4808949219e+04,   -1.5534204688e+05,   -1.2524840000e+06,   -1.2527240000e+06,    3.9596906250e+05,    1.2351853750e+06,
    1.9999668002e-02,   -1.3595906250e+05,    1.2270338750e+06,    1.0605670000e+06,    2.8075318359e+04,    4.4950884375e+05,   -3.1910320312e+04,    2.7073218750e+04,   -8.5916982422e+03,    1.4671998438e+05,   -3.5760259375e+05,    5.8483418750e+05,    1.4757378125e+05,   -1.4907275000e+05,
    2.0999513566e-02,    3.3474256250e+05,    3.6590915625e+05,    1.9458376562e+05,    3.6466831250e+05,    1.6713151562e+05,    4.2331103125e+05,   -1.9874779688e+05,   -2.4044285156e+04,    8.5271734375e+04,   -5.3755106250e+05,    9.8972000000e+05,   -2.0483126562e+05,   -2.3122131250e+05,
    2.1999550983e-02,   -3.5401575000e+05,    5.3260450000e+05,    5.5455375000e+05,   -1.2894382031e+05,   -8.8054414062e+04,   -3.2885200000e+05,    9.5123835938e+04,   -1.4281798438e+05,   -1.5486932812e+05,   -4.8312503125e+05,   -3.6010903125e+05,    4.7984699219e+04,    2.4222553125e+05,
    2.2999586537e-02,    4.1360734375e+05,    7.6965475000e+05,    9.2272250000e+05,    1.8202582812e+05,    6.1930806250e+05,   -2.2086029688e+05,    4.7610959375e+05,   -8.7195546875e+04,   -9.7219367188e+04,   -1.0917221680e+04,   -1.2962522500e+06,   -3.6706090625e+05,    1.4319631250e+05,
    2.3999793455e-02,    6.2212081250e+05,   -9.4137705078e+03,   -1.9871579688e+05,    1.1970875000e+05,    2.2028492188e+05,   -3.6057156250e+05,    5.7267993750e+05,    4.9681184375e+05,    6.8296243750e+05,    1.0074101875e+06,    1.1894385938e+05,   -7.7180512500e+05,    2.7181300000e+05,
    2.4999340996e-02,    7.9975962500e+05,   -5.1854975000e+05,   -1.6913701562e+05,    1.6387632812e+05,   -3.4123950000e+05,   -3.5217409375e+05,    1.1784533594e+05,    1.3541935938e+05,   -7.1710698242e+03,   -1.0624345312e+05,    2.1399359375e+05,    1.9293245312e+05,    2.0376625000e+04,
    2.5999989361e-02,    1.3854323438e+05,    4.7499400000e+05,    5.0530646875e+05,    1.2114363281e+05,   -1.3706676562e+05,    7.5440843750e+05,   -1.2711277344e+04,    2.3946181641e+04,    2.7228440625e+05,    1.3152270312e+05,    2.3322884375e+05,    4.7228637500e+05,    1.2073382812e+05,
    2.6999896392e-02,   -2.5160178125e+05,    2.9775071875e+05,    1.7735098438e+05,    3.4677628125e+05,    3.6014737500e+05,    2.4847514062e+05,    5.1450653125e+05,    2.6177414062e+05,   -7.8045576172e+03,    1.4182232812e+05,    6.5949356250e+05,    6.0905234375e+04,    3.8908662500e+05,
    2.7999848127e-02,    4.0071759375e+05,   -3.6882840625e+05,   -1.7906976562e+05,   -3.9692351562e+04,    4.6289253906e+04,   -6.2929731250e+05,    1.9461801562e+05,    3.9291484375e+05,   -5.0537362500e+05,   -6.6992875000e+04,    1.2604695312e+05,    1.0094536719e+05,    1.5496854688e+05,
    2.8999842703e-02,    5.1409117188e+04,   -2.0313756250e+05,   -2.1942084375e+05,    2.0939328125e+05,   -1.3700034375e+05,    2.6539646875e+05,    2.5528231250e+05,    1.7777478125e+05,    4.3346559375e+05,    3.5129996875e+05,   -8.4842187500e+05,    8.4435960938e+04,   -3.4448806250e+05,
    2.9999339953e-02,    1.5794929688e+05,    5.7714421875e+04,   -1.1015546875e+03,   -6.9340523438e+04,   -3.0903931641e+04,    5.2527300000e+05,   -1.0006401562e+05,    3.4785615625e+05,    4.9054868164e+03,    2.1676981250e+05,    2.5144232812e+05,    5.9113212500e+05,   -4.4958585938e+04,
    3.0999945477e-02,    3.3022346875e+05,    6.1705753906e+04,   -3.6235796875e+04,   -6.8148054688e+04,    1.5396639062e+05,    2.6353259375e+05,   -1.8224717188e+05,   -7.6808398438e+04,    2.7371181250e+05,    4.9712381250e+05,    2.8528534375e+05,    6.2809737500e+05,    3.1020500000e+05,
    3.1999763101e-02,    1.9562981250e+05,    2.1618828125e+05,    3.7126468750e+05,    5.8910253906e+04,    8.6941968750e+04,   -1.0704607031e+05,   -1.1598191406e+04,   -4.6656756250e+05,    1.5924098438e+05,    3.1829678125e+05,   -5.2672554688e+04,    4.9415865625e+05,    6.9923906250e+04,
