Nodal History,Z-acceleration
Time,A118707,B8420,C8766,D120461,E119895,F119308,G121999,H122026,I122042,J121427,K120875,L120200,M120175,N120162,O120138,P119999,Q119903,R119210,S117957,T117315,U118615,V120404,W121002,X121123,Y121221,Z121254,AA8692,AB121315,AC8535,AD120930,AE120632,AF8452,AG120535,AH8436,AI8432,
    9.9995676428e-03,    4.0230062500e+05,    1.2499206250e+06,   -9.3748100000e+05,    1.1947197500e+06,    1.3696542500e+06,    1.3618010000e+06,    2.4539820312e+05,    2.0380345000e+06,    1.5278128750e+06,    1.0743523750e+06,   -7.6584851562e+04,   -2.0876700000e+06,    5.0092559375e+05,   -2.0123543750e+05,    3.2091262500e+05,   -5.3157975000e+05,    1.4467236250e+06,    9.6589956250e+05,    5.4511468750e+05,    4.8801415625e+05,   -2.2818720312e+05,    2.6281890625e+05,    6.9493906250e+05,    3.8629756250e+05,   -3.2078846875e+05,    6.2148387500e+05,   -7.1344056250e+05,   -1.0061919375e+06,    1.6228225000e+06,   -6.5685050000e+05,    3.8547621875e+05,   -1.2489071250e+06,   -6.6582493750e+05,    1.0722431250e+06,    1.5716086250e+06,
    1.0999901220e-02,    1.5904690000e+06,   -5.8622261719e+04,    1.3589726250e+06,   -3.5245237500e+05,    4.9133628125e+05,    1.3122192500e+06,    4.4507446875e+05,    1.7234210000e+06,   -7.9147476562e+04,    4.6238346875e+05,   -9.1307078125e+04,    1.7660079688e+05,   -1.0703993750e+06,    2.0730893750e+05,   -9.2625668750e+05,   -2.3630322500e+06,   -1.4458093750e+05,   -1.7438106250e+06,   -1.0270456250e+06,    1.6588722500e+06,    1.1462252500e+06,    1.1717738750e+06,   -2.5897757812e+05,    1.2006476562e+05,    1.2853124219e+05,    4.3711421875e+05,    4.5420675000e+05,    2.0683993750e+05,    7.6490450000e+05,   -2.4199256250e+05,    1.3772158750e+06,    2.2689093750e+05,    2.3864614062e+05,    4.4899700000e+05,    1.5763101562e+05,
    1.1999499984e-02,   -4.9753546875e+05,    3.1097281250e+05,   -1.5465317188e+05,    1.4257546250e+06,    7.6438950000e+05,   -6.1849168750e+05,    7.3911631250e+05,   -1.7195077500e+06,    4.0867440625e+05,   -3.1848284375e+05,   -2.8786384375e+05,    6.0605753906e+04,   -3.2877602539e+03,   -9.1328412500e+05,   -3.2563631250e+05,    1.8849001250e+06,    3.3360428125e+05,   -6.3326318750e+05,   -2.2843357812e+05,   -1.1174538750e+06,   -3.6720493750e+05,   -2.3075965625e+05,    4.4846862500e+05,    1.5971415000e+06,   -2.2163031250e+05,    1.9629485938e+05,    3.6224228125e+05,   -9.0814218750e+05,    3.4071820312e+04,   -1.5788893750e+05,    5.7226700000e+05,    2.0781563750e+06,    1.6323043750e+06,    1.5668606250e+06,    1.2986772500e+06,
    1.2999906205e-02,   -5.3532943750e+05,    1.1333861719e+05,    3.6984543750e+05,   -7.8982906250e+05,   -8.3945937500e+05,   -1.6618631250e+05,    4.5145728125e+05,    1.7024351250e+06,    7.4184837500e+05,    1.1508304688e+04,    4.2043540625e+05,   -6.0102831250e+05,   -5.6190287500e+05,   -1.3515987500e+06,   -8.6008796875e+04,    7.5116700000e+05,    6.8571587500e+05,   -1.2119876250e+06,   -9.3101343750e+05,   -4.3347156250e+05,   -4.3348875000e+05,   -1.1852378750e+06,    4.7847334375e+05,    6.8744962500e+05,    3.6326628125e+05,   -5.6364412500e+05,   -9.0470125000e+05,   -3.8309831250e+05,   -1.4697267500e+06,   -2.2486700000e+05,   -5.4371475000e+05,   -5.0363075000e+05,    4.6131925781e+04,    4.9066056250e+05,    2.3094607812e+05,
    1.3999529183e-02,    8.0398656250e+05,   -8.5231168750e+05,    2.1749054688e+05,   -3.8060015625e+05,   -3.8450503125e+05,    2.5626134766e+04,   -5.5792268750e+05,   -4.2930321875e+05,   -7.6247662500e+05,    1.4647302500e+06,    9.1761062500e+04,    4.2877675000e+05,   -5.2855418750e+05,    5.6360418750e+05,   -2.1792762500e+05,   -1.0804200000e+06,   -5.9255856250e+05,   -1.0448751250e+06,   -1.0524908750e+06,    1.2615136250e+06,    6.1468831250e+05,   -2.2654131250e+05,   -6.6172900000e+05,   -1.8004320312e+05,    8.9349320312e+04,    6.8785975000e+05,    6.5579887500e+05,    4.3227206250e+05,    1.3768890000e+06,    1.5278026562e+05,    9.9947768750e+05,   -3.9880515625e+05,   -8.4977256250e+05,   -8.1097368750e+05,   -9.2707131250e+05,
    1.4999585226e-02,    5.8404992188e+04,   -1.4484423828e+04,   -7.6637012500e+05,   -1.8208096875e+05,    3.6420214844e+04,   -5.0400024414e+03,   -7.6221175000e+05,   -5.5903668750e+05,   -1.9318077393e+03,    4.5422340625e+05,    3.1431768750e+05,   -2.2320745312e+05,    6.5617075000e+05,    1.0453716875e+06,    9.0681950000e+05,   -2.7374556250e+05,   -2.5289046875e+05,    1.0453813750e+06,    1.7697463750e+06,   -9.2221037500e+05,   -5.6556962500e+05,   -2.5539375000e+05,   -3.8961862500e+05,   -7.7740906250e+05,   -8.2689609375e+04,    6.7114931250e+05,    7.7807325000e+05,    9.0233762500e+05,    6.3692606250e+05,    7.0047200000e+05,    2.8222318750e+05,   -1.9531340625e+05,    1.8499437500e+05,    2.7774443750e+05,    6.1675968750e+04,
    1.5999702737e-02,    1.5755959375e+05,    3.0521343750e+05,   -3.2295128125e+05,    1.4068004688e+05,    3.1026112500e+05,    5.7329431250e+05,   -6.7889273438e+04,   -1.5373259375e+05,    1.5433568750e+05,   -9.7383054688e+04,    7.6469537500e+05,   -1.3461657812e+05,    1.3229335000e+06,    4.1765675000e+05,   -1.4018779688e+05,   -6.0896418750e+05,    3.4279468750e+04,    3.2168087500e+05,    3.3183725586e+03,   -3.4252525000e+05,   -1.1415460938e+05,    1.0292258125e+06,    3.4905818750e+05,   -7.1320693750e+05,   -6.0911600000e+05,   -6.2580863281e+04,    2.3620543750e+05,    4.3304943750e+05,   -2.8670231250e+05,   -1.0247675000e+06,   -6.0802143750e+05,   -1.2016316406e+05,    1.1531144531e+05,    1.1592296094e+05,    2.0080610938e+05,
    1.6999714077e-02,   -5.2277015625e+05,   -7.8835078125e+04,   -5.8372343750e+05,    4.0045037500e+05,    1.8110090625e+05,   -2.5531128125e+05,   -6.4968387500e+05,   -6.3769412500e+05,   -4.7391884375e+05,   -2.7493378125e+05,    3.5800725000e+05,    9.2879112500e+05,    1.3612117188e+05,   -6.7187960938e+04,   -2.3853992188e+05,    2.8293331250e+05,   -1.1961099219e+05,   -4.9752475000e+05,   -6.2111512500e+05,    4.2790475000e+05,   -4.4224808594e+04,   -6.3212265625e+04,    4.5591143750e+05,    6.6792495117e+03,   -8.7518150000e+05,    2.8684368750e+05,    3.0689287500e+05,    3.7543693750e+05,    3.8502040625e+05,   -9.5841831250e+05,   -3.0242762500e+05,   -1.6125951172e+04,    1.3960103125e+05,    1.6103226562e+05,    3.7575956250e+05,
    1.7999883741e-02,    6.8141381250e+05,   -7.8494900000e+05,   -4.1387562500e+05,   -5.1843912500e+05,   -9.9465437500e+04,    2.0715259375e+05,   -1.8403348438e+05,   -2.4308134375e+05,   -3.8744446875e+05,   -5.2036035156e+04,    2.7453181250e+05,   -1.0650411719e+05,   -9.6800023438e+04,    3.8420066406e+04,   -7.2414101562e+04,    2.8736268750e+05,   -3.2585881250e+05,    1.7065979688e+05,    1.3217225000e+05,   -8.9400062500e+05,   -3.8535746875e+05,   -4.5362256250e+05,   -3.9395178125e+05,    6.3853956250e+05,    5.3262156250e+05,   -3.0120543750e+05,    9.8664250000e+05,    4.2130971875e+05,   -2.2520576562e+05,    2.4109664062e+05,   -5.5549256250e+05,   -4.6864550781e+04,   -2.8478184375e+05,   -5.6209456250e+05,   -6.3653106250e+05,
    1.8999727443e-02,   -1.9783343750e+05,   -4.7247006250e+05,    6.4854550000e+05,   -7.3005437500e+05,   -6.8053831250e+05,   -4.7053159375e+05,    1.7330500000e+05,   -2.4567898438e+05,   -4.1299738281e+04,    1.2659882500e+06,    2.4638559375e+05,   -4.2628839844e+04,    3.5053253125e+05,    6.5974431250e+05,    9.0860025000e+05,   -1.2133518750e+05,   -9.1752850000e+05,   -1.1564800000e+06,   -7.1838462500e+05,   -1.9470480469e+04,    3.7730625000e+05,   -2.1789140625e+05,   -3.3539346875e+05,    1.9187578125e+04,    6.9267787500e+05,    5.3588750000e+05,    1.8941365234e+04,    2.8091096875e+05,    6.4818412500e+05,    8.9613468750e+05,    7.6687350000e+05,   -2.1480660156e+04,   -1.7531197266e+04,   -1.9894887500e+05,   -3.2605762500e+05,
