Time(s),Acceleration(m_s2),1_AT3_Floor/A/MeshedPart-PART-1-1 at Node 27292
0.00400014,9.06981,
0.00500043,50.6884,
0.00600064,145.699,
0.00700042,321.116,
0.00800017,212.553,
0.00900046,391.694,
0.0100007,269.165,
0.0110007,505.751,
0.0120009,462.16,
0.0130012,369.841,
0.0140004,298.711,
0.0150012,321.283,
0.0160003,445.194,
0.0170002,189.992,
0.0180002,196.241,
0.0190002,121.147,
0.0200014,224.77,
0.0210003,38.9101,
0.0220008,245.382,
0.0230011,285.146,
0.0240004,338.005,
0.0250013,446.126,
0.0260002,359.614,
0.0270005,332.625,
0.0280008,148.006,
0.0290011,461.037,
0.0300014,450.393,
0.0310002,128.175,
0.0320004,310.88,
0.0330007,242.889,
0.034001,193.03,
0.0350013,327.154,
0.0360001,164.172,
0.0370004,42.2425,
0.0380007,293.66,
0.039001,257.174,
0.0400013,301.784,
0.0410001,216.211,
0.0420004,479.725,
0.0430007,47.2421,
0.0440001,173.427,
0.045001,203.085,
0.0460009,224.772,
0.0470004,325.535,
0.0480003,509.282,
0.049,242.087,
0.0500012,215.788,
0.0510008,233.095,
0.0520002,295.336,
0.053001,684.899,
0.0540003,273.75,
0.0550012,128.126,
0.0560005,259.421,
0.0570013,399.506,
0.0580007,448.858,
0.0590015,365.816,
0.0600008,1111.45,
0.0610002,664.699,
0.062001,654.49,
0.0630003,546.905,
0.0640012,413.637,
0.0650005,272.905,
0.0660013,868.472,
0.0670007,591.209,
0.0680015,397.319,
0.0690008,784.104,
0.0700002,421.992,
0.071001,710.912,
0.0720003,860.522,
0.0730012,276.335,
0.0740005,809.29,
0.0750013,741.339,
0.0760007,675.661,
0.0770015,168.392,
0.0780008,1032.69,
0.0790002,287.401,
0.080001,460.198,
0.0810003,369.918,
0.0820012,449.771,
0.0830005,220.092,
0.0840013,625.877,
0.0850007,413.028,
0.0860015,504.965,
0.0870012,447.794,
0.0880013,666.143,
0.0890005,696.85,
0.0900002,356.566,
0.0910015,367.461,
0.0920012,242.138,
0.093001,423.579,
0.0940007,647.335,
0.0950005,538.984,
0.0960002,361.932,
0.0970015,715.799,
0.0980012,642.231,
0.0990009,740.265,
0.100001,635.014,
0.101,522.441,
0.102,381.828,
0.103001,599.004,
0.104001,462.488,
0.105001,152.448,
0.106001,683.497,
0.107,574.457,
0.108,261.715,
0.109001,445.119,
0.110001,280.252,
0.111001,482.536,
0.112001,482.211,
0.113,510.212,
0.114,504.863,
0.115001,748.182,
0.116001,602.472,
0.117001,538.574,
0.118,808.503,
0.119001,133.031,
0.120001,520.207,
0.121001,477.427,
0.122001,151.532,
0.123,711.981,
0.124001,193.061,
0.125,748.533,
0.126001,1092.23,
0.127,973.682,
0.128001,399.051,
0.129,742.112,
0.130001,865.535,
0.131001,345.455,
0.132001,822.662,
0.133001,703.917,
0.134,385.525,
0.135001,483.187,
0.136,273.622,
0.137001,241.687,
0.138,301.014,
0.139001,468.907,
0.140001,567.066,
0.141001,145.686,
0.142001,537.64,
0.143,262.741,
0.144001,266.717,
0.145,370.385,
0.146001,468.924,
0.147,315.876,
0.148001,493.963,
0.149001,193.525,
0.150001,600.348,
0.151001,267.686,
0.152,347.544,
0.153001,233.299,
0.154,557.01,
0.155001,100.881,
0.156,193.975,
0.157001,233.034,
0.158001,113.876,
0.159001,387.416,
0.160001,234.482,
0.161,541.144,
0.162001,510.229,
0.163,284.838,
0.164001,79.5639,
0.165,505.626,
0.166001,114.997,
0.167001,381.183,
0.168001,288.266,
0.169001,469.212,
0.17,310.617,
0.171001,391.964,
0.172,223.485,
0.173001,301.868,
0.174,345.662,
0.175001,298.084,
0.176001,656.181,
0.177001,322.774,
0.178001,280.434,
0.179,311.995,
0.180001,295.594,
0.181,511.106,
0.182001,582.263,
0.183,335.814,
0.184001,395.248,
0.185001,445.966,
0.186001,558.951,
0.187001,804.825,
0.188,171.096,
0.189001,365.34,
0.19,845.625,
0.191001,404.638,
0.192,186.717,
0.193001,421.684,
0.194001,240.832,
0.195001,394.005,
0.196001,499.777,
0.197,303.503,
0.198001,134.033,
0.199,184.548,
0.200001,265.868,
0.201,225.57,
0.202001,350.743,
0.203001,536.081,
0.204001,280.281,
0.205001,496.923,
0.206,382.611,
0.207001,291.949,
0.208,416.615,
0.209001,412.251,
0.21,203.433,
0.211001,168.908,
