Time(s),Energy(J),ALLPD_Floor_long_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_LONG_BEAMS-1/
0,0,
0.00500027,0,
0.0100008,0.003292,
0.0150006,3.19488,
0.0200003,22.7738,
0.0250001,22.9376,
0.0300007,26.3291,
0.0350005,35.2256,
0.0400003,50.2006,
0.0450001,84.0827,
0.0500008,111.411,
0.0550006,123.732,
0.0600004,125.764,
0.0650005,596.64,
0.0700006,875.037,
0.0750008,1151.34,
0.08,1408.24,
0.0850001,1563.43,
0.0900004,1616.9,
0.0950003,1628.44,
0.1,1633.68,
0.105001,1652.56,
0.11,1715.47,
0.115,1780.48,
0.12,1810.89,
0.125,1825.57,
0.130001,1832.91,
0.135001,1835.01,
0.140001,1837.11,
0.145,1846.54,
0.15,1854.93,
0.155,1867.51,
0.16,1871.71,
0.165001,1872.76,
0.170001,1873.81,
0.175001,1874.85,
0.18,1876.95,
0.185,1878,
0.19,1880.1,
0.195,1880.1,
0.2,1882.19,
0.205001,1882.19,
0.210001,1882.19,
0.215,1882.19,
0.22,1883.24,
0.225,1883.24,
0.23,1884.29,
0.235,1884.29,
0.240001,1884.29,
0.245001,1884.29,
0.250001,1884.29,
0.255,1884.29,
0.26,1885.34,
0.265,1885.34,
0.27,1885.34,
0.275001,1885.34,
0.280001,1886.39,
0.285001,1886.39,
0.29,1886.39,
0.295,1886.39,
0.3,1886.39,
