Time(s),Energy(J),ALLPD_Floor_long_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_LONG_BEAMS-1/
0,0,
0.00500058,0,
0.0100006,0,
0.0150008,2.83853,
0.0200002,15.3436,
0.0250008,15.3928,
0.0300004,16.1792,
0.0350001,19.3167,
0.0400006,31.8669,
0.0450002,85.9177,
0.0500008,131.924,
0.0550004,136.053,
0.0600001,137.363,
0.0650006,672.661,
0.0700003,995.623,
0.0750008,1261.44,
0.0800005,1420.82,
0.0850001,1525.68,
0.0900007,1547.7,
0.0950003,1563.43,
0.100001,1566.57,
0.105,1594.88,
0.11,1653.6,
0.115001,1714.42,
0.12,1746.93,
0.125001,1761.61,
0.130001,1761.61,
0.135,1763.7,
0.14,1764.75,
0.145,1773.14,
0.150001,1790.97,
0.155001,1807.74,
0.160001,1812.99,
0.165,1812.99,
0.17,1814.04,
0.175,1815.09,
0.180001,1820.33,
0.185001,1822.43,
0.19,1825.57,
0.195,1826.62,
0.2,1826.62,
0.205001,1827.67,
0.210001,1828.72,
0.215,1830.81,
0.22,1830.81,
0.225,1833.96,
0.230001,1833.96,
0.235001,1836.06,
0.24,1839.2,
0.245,1844.45,
0.25,1851.79,
0.255001,1852.83,
0.26,1852.83,
0.265001,1854.93,
0.27,1863.32,
0.275,1874.85,
0.280001,1882.19,
0.285,1883.24,
0.290001,1883.24,
0.295,1884.29,
0.3,1888.49,
