Time(s),Energy(J),ALLPD_Frames/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FRAMES-1/
0,0,
0.00500058,12.1979,
0.0100006,474.743,
0.0150008,1435.5,
0.0200002,2705.33,
0.0250008,3955.23,
0.0300004,5012.19,
0.0350001,5846.86,
0.0400006,6505.37,
0.0450002,7956.59,
0.0500008,10267.7,
0.0550004,12759.1,
0.0600001,14294.2,
0.0650006,15544.1,
0.0700003,16609.4,
0.0750008,18287.2,
0.0800005,19830.7,
0.0850001,20770.2,
0.0900007,20938,
0.0950003,20971.5,
0.100001,20988.3,
0.105,20988.3,
0.11,21005.1,
0.115001,21005.1,
0.12,21021.9,
0.125001,21021.9,
0.130001,21021.9,
0.135,21021.9,
0.14,21038.6,
0.145,21038.6,
0.150001,21038.6,
0.155001,21038.6,
0.160001,21038.6,
0.165,21038.6,
0.17,21038.6,
0.175,21038.6,
0.180001,21038.6,
0.185001,21038.6,
0.19,21038.6,
0.195,21038.6,
0.2,21038.6,
0.205001,21038.6,
0.210001,21038.6,
0.215,21038.6,
0.22,21038.6,
0.225,21038.6,
0.230001,21055.4,
0.235001,21055.4,
0.24,21055.4,
0.245,21055.4,
0.25,21055.4,
0.255001,21055.4,
0.26,21055.4,
0.265001,21055.4,
0.27,21055.4,
0.275,21055.4,
0.280001,21055.4,
0.285,21055.4,
0.290001,21055.4,
0.295,21055.4,
0.3,21055.4,
