Time(s),Energy(J),ALLPD_Shear_clips/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SHEAR_CLIPS-1/
0,0,
0.00500027,221.118,
0.0100008,1033.37,
0.0150006,1967.13,
0.0200003,2835.35,
0.0250001,3376.41,
0.0300007,3841.98,
0.0350005,4265.61,
0.0400003,5008,
0.0450001,6123.68,
0.0500008,7151.29,
0.0550006,8174.7,
0.0600004,8975.81,
0.0650005,9579.79,
0.0700006,10552.9,
0.0750008,11836.3,
0.08,12859.7,
0.0850001,13790.9,
0.0900004,14369.7,
0.0950003,14470.3,
0.1,14495.5,
0.105001,14520.7,
0.11,14554.2,
0.115,14604.6,
0.12,14629.7,
0.125,14646.5,
0.130001,14663.3,
0.135001,14688.5,
0.140001,14705.2,
0.145,14722,
0.15,14730.4,
0.155,14747.2,
0.16,14755.6,
0.165001,14764,
0.170001,14772.3,
0.175001,14780.7,
0.18,14789.1,
0.185,14797.5,
0.19,14805.9,
0.195,14814.3,
0.2,14822.7,
0.205001,14822.7,
0.210001,14831.1,
0.215,14831.1,
0.22,14831.1,
0.225,14839.4,
0.23,14847.8,
0.235,14864.6,
0.240001,14873,
0.245001,14873,
0.250001,14881.4,
0.255,14881.4,
0.26,14889.8,
0.265,14889.8,
0.27,14889.8,
0.275001,14889.8,
0.280001,14889.8,
0.285001,14898.2,
0.29,14898.2,
0.295,14898.2,
0.3,14898.2,
