Nodal History,Z-acceleration
Time,A8874,
    1.3499997556e-01,   -5.3142820312e+04,
    1.3600005209e-01,   -1.3745342188e+05,
    1.3699953258e-01,    2.5095828125e+04,
    1.3799963892e-01,    6.8568575000e+05,
    1.3899976015e-01,    7.3324906250e+04,
    1.3999991119e-01,    3.5225359375e+05,
    1.4100007713e-01,    4.7687363281e+04,
    1.4199961722e-01,   -1.1717284375e+05,
    1.4299979806e-01,   -1.6636862500e+05,
    1.4399996400e-01,    1.2324844531e+05,
    1.4499951899e-01,    1.5274548438e+05,
    1.4599968493e-01,   -5.0771859375e+05,
    1.4699986577e-01,   -7.3029429688e+04,
    1.4800003171e-01,    9.2075187500e+04,
    1.4899958670e-01,   -2.4551559375e+05,
    1.4999976754e-01,   -5.4477593750e+05,
    1.5000039339e-01,   -5.4477593750e+05,
