Time(s),Energy(J),ALLPD_Stiffeners/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_STIFFENERS-1/
0,0,
0.00500027,0.125952,
0.0100008,5.0176,
0.0150006,5.48045,
0.0200003,9.33888,
0.0250001,9.99424,
0.0300007,10.8052,
0.0350005,15.1142,
0.0400003,53.6412,
0.0450001,131.727,
0.0500008,189.661,
0.0550006,228.065,
0.0600004,256.77,
0.0650005,274.465,
0.0700006,312.214,
0.0750008,429.392,
0.08,492.569,
0.0850001,510.394,
0.0900004,515.637,
0.0950003,517.472,
0.1,518.259,
0.105001,518.259,
0.11,518.521,
0.115,518.521,
0.12,518.521,
0.125,518.783,
0.130001,518.783,
0.135001,518.783,
0.140001,519.045,
0.145,519.045,
0.15,519.045,
0.155,519.045,
0.16,519.045,
0.165001,519.307,
0.170001,519.307,
0.175001,519.569,
0.18,519.832,
0.185,520.094,
0.19,520.88,
0.195,520.88,
0.2,521.142,
0.205001,521.142,
0.210001,521.142,
0.215,521.142,
0.22,521.142,
0.225,521.142,
0.23,521.142,
0.235,521.404,
0.240001,521.404,
0.245001,521.404,
0.250001,521.404,
0.255,521.404,
0.26,521.404,
0.265,521.404,
0.27,521.404,
0.275001,521.404,
0.280001,521.404,
0.285001,521.404,
0.29,521.404,
0.295,521.404,
0.3,521.404,
