x, y
0.9780219780219781, 7.925748502994012
1.978021978021978, 8.34251497005988
2.978021978021978, 8.17005988023952
3.9780219780219785, 5.611976047904191
5, 6.273053892215569
6.000000000000001, 6.359281437125748
7.000000000000001, 7.796407185628742
7.98901098901099, 8.773652694610778
9, 10.196407185628743
10.021978021978022, 4.9652694610778445
11.010989010989013, 6.847904191616767
12.010989010989013, 8.716167664670659
0.9670329670329672, 9.635928143712574
2, 10.397604790419162
2.978021978021978, 9.894610778443115
3.9890109890109895, 9.391616766467065
4.989010989010989, 9.693413173652694
6.010989010989012, 9.679041916167664
7.000000000000001, 9.492215568862274
8, 10.167664670658683
9.021978021978022, 9.592814371257484
10, 9.362874251497006
11.032967032967035, 9.707784431137725
12.010989010989013, 9.592814371257484
0.9670329670329672, 6.3736526946107785
1.978021978021978, 6.847904191616767
2.989010989010989, 6.359281437125748
4, 5.81317365269461
5, 6.04311377245509
5.978021978021978, 6.1437125748503
7.032967032967034, 5.92814371257485
8, 6.316167664670659
9.010989010989011, 5.827544910179641
10, 5.583233532934131
11.010989010989013, 6.0574850299401195
12.021978021978024, 5.683832335329341
