Time(s),Energy(J),ALLPD_Floor_long_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_LONG_BEAMS-1/
0,0,
0.00500042,0,
0.01,0,
0.0150009,2.17907,
0.0200002,17.4653,
0.0250003,17.6128,
0.0300001,18.1862,
0.0350011,21.7088,
0.0400002,39.5837,
0.0450004,97.6486,
0.0500007,136.446,
0.0550008,146.145,
0.06,221.774,
0.0650004,608.174,
0.0700006,817.365,
0.0750003,1188.04,
0.0800005,1331.69,
0.0850007,1405.09,
0.0900006,1447.03,
0.0950008,1458.57,
0.100001,1464.86,
0.105001,1496.32,
0.110001,1543.5,
0.115001,1652.56,
0.120001,1755.32,
0.125001,1792.02,
0.130001,1804.6,
0.135001,1805.65,
0.14,1809.84,
0.145001,1843.4,
0.15,1910.51,
0.155001,1987.05,
0.16,2012.22,
0.165001,2014.31,
0.17,2014.31,
0.175001,2015.36,
0.18,2028.99,
0.185001,2049.97,
0.19,2063.6,
0.195001,2075.13,
0.2,2075.13,
0.205001,2075.13,
0.21,2078.28,
0.215001,2080.37,
0.22,2081.42,
0.225001,2081.42,
0.23,2081.42,
0.235001,2082.47,
0.24,2083.52,
0.245001,2085.62,
0.25,2085.62,
0.255001,2085.62,
0.26,2086.67,
0.265001,2090.86,
0.27,2103.44,
0.275,2107.64,
0.280001,2108.69,
0.285,2108.69,
0.290001,2110.78,
0.295,2112.88,
0.3,2116.03,
