Time(s),Energy(J),ALLPD_Shear_clips/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SHEAR_CLIPS-1/
0,0,
0.00500042,208.536,
0.01,874.512,
0.0150009,1731.2,
0.0200002,2394.95,
0.0250003,2952.79,
0.0300001,3407.87,
0.0350011,3858.76,
0.0400002,4559.21,
0.0450004,5624.56,
0.0500007,6836.72,
0.0550008,7918.85,
0.06,8522.83,
0.0650004,9412.02,
0.0700006,10695.5,
0.0750003,11987.3,
0.0800005,13312.7,
0.0850007,14235.5,
0.0900006,14487.1,
0.0950008,14638.1,
0.100001,14755.6,
0.105001,14814.3,
0.110001,14856.2,
0.115001,14881.4,
0.120001,14923.3,
0.125001,14956.9,
0.130001,14965.3,
0.135001,14982.1,
0.14,14998.8,
0.145001,15024,
0.15,15040.8,
0.155001,15049.2,
0.16,15057.6,
0.165001,15091.1,
0.17,15116.3,
0.175001,15124.7,
0.18,15124.7,
0.185001,15133,
0.19,15133,
0.195001,15133,
0.2,15141.4,
0.205001,15141.4,
0.21,15141.4,
0.215001,15149.8,
0.22,15149.8,
0.225001,15149.8,
0.23,15158.2,
0.235001,15166.6,
0.24,15166.6,
0.245001,15175,
0.25,15175,
0.255001,15175,
0.26,15175,
0.265001,15175,
0.27,15183.4,
0.275,15183.4,
0.280001,15191.8,
0.285,15191.8,
0.290001,15191.8,
0.295,15200.2,
0.3,15208.5,
