Time(s),Energy(J),ALLPD_Skin/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SKIN-1/
0,0,
0.00500042,0,
0.01,2.64397,
0.0150009,107.217,
0.0200002,179.175,
0.0250003,233.701,
0.0300001,347.341,
0.0350011,444.858,
0.0400002,543.162,
0.0450004,673.186,
0.0500007,822.608,
0.0550008,918.028,
0.06,1020.79,
0.0650004,1156.58,
0.0700006,1243.61,
0.0750003,1312.82,
0.0800005,1371.54,
0.0850007,1412.43,
0.0900006,1428.16,
0.0950008,1433.4,
0.100001,1435.5,
0.105001,1435.5,
0.110001,1435.5,
0.115001,1435.5,
0.120001,1435.5,
0.125001,1435.5,
0.130001,1435.5,
0.135001,1435.5,
0.14,1435.5,
0.145001,1435.5,
0.15,1436.55,
0.155001,1436.55,
0.16,1436.55,
0.165001,1436.55,
0.17,1436.55,
0.175001,1437.6,
0.18,1437.6,
0.185001,1437.6,
0.19,1436.55,
0.195001,1436.55,
0.2,1436.55,
0.205001,1436.55,
0.21,1436.55,
0.215001,1436.55,
0.22,1436.55,
0.225001,1436.55,
0.23,1437.6,
0.235001,1437.6,
0.24,1437.6,
0.245001,1437.6,
0.25,1437.6,
0.255001,1437.6,
0.26,1437.6,
0.265001,1437.6,
0.27,1437.6,
0.275,1437.6,
0.280001,1437.6,
0.285,1437.6,
0.290001,1437.6,
0.295,1437.6,
0.3,1437.6,
