Time(s),Energy(J),ALLKE_Global/ALLKE
0,50099.9,
0.00500042,50098.1,
0.01,47841,
0.0150009,45486.7,
0.0200002,43126,
0.0250003,41091,
0.0300001,39501.7,
0.0350011,38980.8,
0.0400002,37697.4,
0.0450004,35200.3,
0.0500007,32064.2,
0.0550008,27759.1,
0.06,23533.5,
0.0650004,17455.9,
0.0700006,11084,
0.0750003,7156.83,
0.0800005,4320.44,
0.0850007,2599.24,
0.0900006,1650.47,
0.0950008,1405.09,
0.100001,1585.67,
0.105001,1818.32,
0.110001,2006.13,
0.115001,2139.43,
0.120001,2174.66,
0.125001,2232.39,
0.130001,2426.3,
0.135001,2618.42,
0.14,2586.48,
0.145001,2367.92,
0.15,1988.04,
0.155001,1593.33,
0.16,1425.05,
0.165001,1423.42,
0.17,1412.3,
0.175001,1350.62,
0.18,1254.51,
0.185001,1216.09,
0.19,1221.82,
0.195001,1186.73,
0.2,1173.85,
0.205001,1026.89,
0.21,810.775,
0.215001,680.315,
0.22,682.076,
0.225001,769.167,
0.23,817.576,
0.235001,779.454,
0.24,679.998,
0.245001,599.331,
0.25,550.448,
0.255001,597.643,
0.26,549.408,
0.265001,504.646,
0.27,313.031,
0.275,412.165,
0.280001,488.608,
0.285,572.407,
0.290001,531.876,
0.295,490.076,
0.3,467.553,
