Time(s),Energy(J),ALLPD_Floor_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_BEAMS-1/
0,0,
0.00500042,0,
0.01,0.05616,
0.0150009,0.196352,
0.0200002,8.65075,
0.0250003,9.14227,
0.0300001,10.2646,
0.0350011,11.4606,
0.0400002,16.7444,
0.0450004,20.7585,
0.0500007,24.0026,
0.0550008,25.0511,
0.06,26.3291,
0.0650004,1302.33,
0.0700006,2051.01,
0.0750003,2164.26,
0.0800005,2264.92,
0.0850007,2329.94,
0.0900006,2527.07,
0.0950008,2696.94,
0.100001,2738.88,
0.105001,2814.38,
0.110001,2927.62,
0.115001,3015.7,
0.120001,3089.1,
0.125001,3107.98,
0.130001,3120.56,
0.135001,3122.66,
0.14,3124.76,
0.145001,3135.24,
0.15,3160.41,
0.155001,3191.87,
0.16,3214.93,
0.165001,3225.42,
0.17,3229.61,
0.175001,3233.81,
0.18,3238,
0.185001,3246.39,
0.19,3250.59,
0.195001,3252.68,
0.2,3256.88,
0.205001,3271.56,
0.21,3282.04,
0.215001,3292.53,
0.22,3296.72,
0.225001,3296.72,
0.23,3296.72,
0.235001,3296.72,
0.24,3298.82,
0.245001,3300.92,
0.25,3305.11,
0.255001,3305.11,
0.26,3307.21,
0.265001,3309.31,
0.27,3313.5,
0.275,3313.5,
0.280001,3315.6,
0.285,3315.6,
0.290001,3315.6,
0.295,3315.6,
0.3,3317.69,
