Time(s),Energy(J),ALLPD_Floor_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_BEAMS-1/
0,0,
0.00500074,0,
0.0100001,0.035744,
0.0150001,0.215168,
0.0200005,4.51789,
0.0250001,6.26278,
0.0300006,6.39795,
0.0350003,7.33184,
0.0400008,23.3308,
0.0450004,71.3687,
0.0500001,77.0048,
0.0550006,78.9053,
0.0600003,81.7889,
0.0650008,1133.51,
0.0700004,2130.71,
0.0750001,2483.03,
0.0800006,2579.5,
0.0850003,2600.47,
0.0900008,2717.91,
0.0950004,2839.54,
0.1,2873.1,
0.105001,2908.75,
0.11,2948.6,
0.115001,2980.05,
0.12,3057.65,
0.125,3133.15,
0.130001,3145.73,
0.135001,3154.12,
0.14,3158.31,
0.145,3162.51,
0.15,3164.6,
0.155001,3170.89,
0.160001,3175.09,
0.165,3181.38,
0.17,3183.48,
0.175,3187.67,
0.18,3189.77,
0.185001,3193.96,
0.190001,3198.16,
0.195,3206.55,
0.2,3206.55,
0.205,3206.55,
0.210001,3208.64,
0.215001,3210.74,
0.22,3214.93,
0.225,3219.13,
0.23,3219.13,
0.235001,3219.13,
0.240001,3219.13,
0.245,3219.13,
0.25,3219.13,
0.255001,3219.13,
0.26,3219.13,
0.265,3219.13,
0.270001,3219.13,
0.275,3219.13,
0.280001,3219.13,
0.285,3221.23,
0.29,3221.23,
0.295001,3221.23,
0.3,3221.23,
