Time(s),Energy(J),ALLKE_Global/ALLKE
0,50326,
0.00500074,50335.8,
0.0100001,47803.5,
0.0150001,45463.9,
0.0200005,43307.7,
0.0250001,41636,
0.0300006,39919.1,
0.0350003,39076.8,
0.0400008,37975.3,
0.0450004,35749.6,
0.0500001,32741,
0.0550006,28836.9,
0.0600003,24595.9,
0.0650008,18217.7,
0.0700004,11962.4,
0.0750001,7415.34,
0.0800006,4378.51,
0.0850003,2202.5,
0.0900008,1126.09,
0.0950004,915.621,
0.1,1363.04,
0.105001,1900.02,
0.11,2356.36,
0.115001,2613.16,
0.12,2572.88,
0.125,2420.8,
0.130001,2396.32,
0.135001,2464.22,
0.14,2366.71,
0.145,2331.64,
0.15,2298.13,
0.155001,2055.17,
0.160001,1924.29,
0.165,1812.2,
0.17,1642.58,
0.175,1617.71,
0.18,1540.16,
0.185001,1460.3,
0.190001,1331.23,
0.195,1196.76,
0.2,1302.18,
0.205,1234.54,
0.210001,1139.4,
0.215001,1065.72,
0.22,966.593,
0.225,909.593,
0.23,842.938,
0.235001,705.269,
0.240001,679.684,
0.245,617.333,
0.25,536.923,
0.255001,542.804,
0.26,559.396,
0.265,523.275,
0.270001,525.964,
0.275,543.018,
0.280001,521.674,
0.285,499.856,
0.29,481.821,
0.295001,358.062,
0.3,335.369,
