Time(s),Energy(J),ALLPD_Frames/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FRAMES-1/
0,0,
0.00500011,10.7971,
0.0100009,374.604,
0.0150006,1266.68,
0.0200003,2359.3,
0.0250008,3594.52,
0.0300007,4563.4,
0.0350008,5440.01,
0.0400007,6249.51,
0.0450005,7302.28,
0.0500004,9328.13,
0.0550009,11962.2,
0.0600002,13178.5,
0.065,14176.7,
0.0700001,15628,
0.0750004,17297.3,
0.0800003,18404.6,
0.0850002,19126,
0.090001,19545.5,
0.0950005,19730,
0.1,19881,
0.105,19914.6,
0.11,19931.3,
0.115001,19948.1,
0.12,19948.1,
0.125001,19964.9,
0.13,19964.9,
0.135001,19964.9,
0.14,19964.9,
0.145001,19964.9,
0.150001,19964.9,
0.155,19964.9,
0.160001,19964.9,
0.165,19964.9,
0.170001,19964.9,
0.175,19964.9,
0.180001,19964.9,
0.185,19964.9,
0.190001,19981.7,
0.195,19981.7,
0.2,19981.7,
0.205001,19981.7,
0.21,19981.7,
0.215001,19981.7,
0.22,19981.7,
0.225001,19981.7,
0.23,19981.7,
0.235001,19981.7,
0.24,19981.7,
0.245001,19981.7,
0.250001,19981.7,
0.255,19981.7,
0.260001,19981.7,
0.265,19981.7,
0.270001,19981.7,
0.275,19981.7,
0.280001,19981.7,
0.285,19981.7,
0.29,19981.7,
0.295001,19981.7,
0.3,19981.7,
