Time(s),Energy(J),ALLPD_Shear_clips/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SHEAR_CLIPS-1/
0,0,
0.00500011,215.613,
0.0100009,816.841,
0.0150006,1576.01,
0.0200003,2195.72,
0.0250008,2728.39,
0.0300007,3229.61,
0.0350008,3642.75,
0.0400007,4158.65,
0.0450005,5079.3,
0.0500004,6153.04,
0.0550009,7142.9,
0.0600002,7688.16,
0.065,8560.57,
0.0700001,10099.9,
0.0750004,11811.2,
0.0800003,12826.2,
0.0850002,13346.3,
0.090001,13614.7,
0.0950005,13807.6,
0.1,13891.5,
0.105,13933.5,
0.11,13967,
0.115001,14000.6,
0.12,14067.7,
0.125001,14092.9,
0.13,14126.4,
0.135001,14143.2,
0.14,14160,
0.145001,14176.7,
0.150001,14201.9,
0.155,14218.7,
0.160001,14235.5,
0.165,14243.9,
0.170001,14252.2,
0.175,14252.2,
0.180001,14252.2,
0.185,14260.6,
0.190001,14260.6,
0.195,14269,
0.2,14269,
0.205001,14269,
0.21,14269,
0.215001,14269,
0.22,14269,
0.225001,14269,
0.23,14277.4,
0.235001,14277.4,
0.24,14277.4,
0.245001,14277.4,
0.250001,14277.4,
0.255,14285.8,
0.260001,14294.2,
0.265,14294.2,
0.270001,14302.6,
0.275,14302.6,
0.280001,14302.6,
0.285,14302.6,
0.29,14302.6,
0.295001,14302.6,
0.3,14311,
