Time(s),Energy(J),ALLKE_Global/ALLKE
0,50243,
0.00500058,50252.6,
0.0100006,47826.6,
0.0150008,45578.5,
0.0200002,43423.7,
0.0250008,41524.8,
0.0300004,39855.6,
0.0350001,39083.5,
0.0400006,38016.2,
0.0450002,35585.9,
0.0500008,32458,
0.0550004,29076.2,
0.0600001,23723.7,
0.0650006,16695.2,
0.0700003,10772,
0.0750008,6726.6,
0.0800005,4045.34,
0.0850001,1951.69,
0.0900007,1275.79,
0.0950003,1171.97,
0.100001,1618.81,
0.105,2001.67,
0.11,2164.02,
0.115001,2381.18,
0.12,2331.13,
0.125001,2301.79,
0.130001,2355.81,
0.135,2440.02,
0.14,2400.53,
0.145,2203.08,
0.150001,2089.46,
0.155001,1886.52,
0.160001,1697.2,
0.165,1692.22,
0.17,1608.5,
0.175,1449.92,
0.180001,1287.45,
0.185001,1211.23,
0.19,1303.55,
0.195,1316.22,
0.2,1239.82,
0.205001,1115.17,
0.210001,1048.2,
0.215,920.561,
0.22,818.472,
0.225,781.099,
0.230001,708.504,
0.235001,683.601,
0.24,634.286,
0.245,586.291,
0.25,606.647,
0.255001,594.863,
0.26,620.571,
0.265001,649.725,
0.27,524.705,
0.275,471.437,
0.280001,443.05,
0.285,439.347,
0.290001,452.481,
0.295,419.641,
0.3,372.548,
