Time(s),Energy(J),ALLPD_Floor_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_BEAMS-1/
0,0,
0.00500011,0,
0.0100009,0.288256,
0.0150006,0.409344,
0.0200003,7.79059,
0.0250008,10.0352,
0.0300007,15.9089,
0.0350008,21.545,
0.0400007,28.2132,
0.0450005,32.7844,
0.0500004,35.455,
0.0550009,36.3069,
0.0600002,70.8444,
0.065,1163.92,
0.0700001,1701.84,
0.0750004,1812.99,
0.0800003,2019.56,
0.0850002,2420.11,
0.090001,2801.8,
0.0950005,2990.54,
0.1,3147.83,
0.105,3279.95,
0.11,3430.94,
0.115001,3560.96,
0.12,3640.66,
0.125001,3661.63,
0.13,3663.72,
0.135001,3667.92,
0.14,3684.7,
0.145001,3732.93,
0.150001,3800.04,
0.155,3860.86,
0.160001,3877.63,
0.165,3879.73,
0.170001,3883.93,
0.175,3888.12,
0.180001,3896.51,
0.185,3904.9,
0.190001,3913.29,
0.195,3953.13,
0.2,3969.91,
0.205001,3984.59,
0.21,3986.69,
0.215001,3990.88,
0.22,3990.88,
0.225001,3990.88,
0.23,3990.88,
0.235001,3992.98,
0.24,3999.27,
0.245001,4007.66,
0.250001,4020.24,
0.255,4030.73,
0.260001,4030.73,
0.265,4032.82,
0.270001,4032.82,
0.275,4032.82,
0.280001,4032.82,
0.285,4037.02,
0.29,4043.31,
0.295001,4049.6,
0.3,4057.99,
