Time(s),Energy(J),ALLPD_Stiffeners/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_STIFFENERS-1/
0,0,
0.00500011,0.054176,
0.0100009,0.49536,
0.0150006,4.39501,
0.0200003,4.74726,
0.0250008,4.82918,
0.0300007,5.36986,
0.0350008,6.66829,
0.0400007,8.0937,
0.0450005,12.1979,
0.0500004,67.6331,
0.0550009,234.226,
0.0600002,289.931,
0.065,370.672,
0.0700001,452.985,
0.0750004,497.549,
0.0800003,521.667,
0.0850002,531.628,
0.090001,536.871,
0.0950005,541.589,
0.1,542.114,
0.105,542.114,
0.11,542.638,
0.115001,542.638,
0.12,542.638,
0.125001,542.638,
0.13,542.638,
0.135001,542.638,
0.14,542.638,
0.145001,542.638,
0.150001,543.162,
0.155,543.162,
0.160001,543.162,
0.165,543.162,
0.170001,543.162,
0.175,543.162,
0.180001,543.162,
0.185,543.162,
0.190001,543.162,
0.195,543.162,
0.2,543.162,
0.205001,543.162,
0.21,543.162,
0.215001,543.162,
0.22,543.162,
0.225001,543.162,
0.23,543.162,
0.235001,543.162,
0.24,543.162,
0.245001,543.162,
0.250001,543.162,
0.255,543.162,
0.260001,543.162,
0.265,543.162,
0.270001,543.162,
0.275,543.162,
0.280001,543.162,
0.285,543.162,
0.29,543.162,
0.295001,543.162,
0.3,543.162,
